Ground Truth, TAD
1600, 1600
1600, 1600
1600, 200
1600, 600
1600, 1600
1600, 200
1600, 1600
1600, 1600
1600, 1600
1600, 200
1600, 1600
1600, 200
1600, 1600
1600, 1600
1600, 200
1600, 1600
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 200
1600, 1600
1600, 200
1600, 200
1600, 1600.0
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 600.0
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600.0
1600, 1600
1600, 200
1600, 600
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 200
1600, 200
1600, 1600
1600, 1600
1600, 1600
1600, 1600.0
1600, 1600
1600, 1600
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 200
1600, 600
1600, 600
1600, 1600.0
1600, 1600
1600, 200
1600, 200
1600, 600
1600, 600
1600, 1600.0
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 600.0
1600, 1600
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 1600
600, 1600.0
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 1600.0
600, 0
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 1600.0
600, 200
600, 0
600, 600
600, 600
600, 1600.0
600, 1600.0
600, 200
600, 0
600, 1600.0
600, 200
600, 1600.0
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600.0
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 200
600, 600.0
600, 600
600, 200
600, 600
600, 600
600, 1600.0
600, 200
600, 600
600, 200
600, 600
600, 200
600, 200
600, 600
600, 600
600, 600
600, 200
600, 200
600, 600.0
600, 200
600, 600
