Ground Truth, TAD
1600, 600
1600, 1600
1600, 200
1600, 600
1600, 1600
1600, 1600
1600, 1600
1600, 200
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 1600
1600, 200
1600, 1600
1600, 1600
1600, 1600
1600, 600
1600, 1600
1600, 200
1600, 1600
1600, 200
1600, 1600
1600, 1600
1600, 1600
1600, 600
1600, 600
1600, 1600
1600, 600
1600, 600
1600, 600
1600, 200
1600, 1600
1600, 200
1600, 600
1600, 1600
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 200
1600, 600
1600, 600
1600, 200
1600, 1600
1600, 1600
1600, 1600
1600, 200
1600, 600
1600, 600
1600, 1600
1600, 600
1600, 1600
1600, 600
1600, 1600
1600, 200
1600, 1600
1600, 200
1600, 1600
1600, 600
1600, 1600
1600, 600
1600, 600
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 1600
1600, 200
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 600
1600, 600
1600, 600
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 600
1600, 600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 200
1600, 200
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 200
1600, 200
1600, 1600
1600, 1600
1600, 600
1600, 600
1600, 1600
1600, 1600
1600, 600
1600, 1600
1600, 200
1600, 1600
1600, 600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 200
1600, 1600
1600, 1600
1600, 200
1600, 200
1600, 200
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 200
1600, 1600
1600, 1600
1600, 200
1600, 1600
1600, 1600
1600, 1600
1600, 600
1600, 600
1600, 1600
1600, 1600
1600, 200
1600, 200
1600, 1600
1600, 1600
1600, 1600
